Dataset,STRF,DTW,FCN,TS2Vec,TimesNet,TST,PatchTST,SVP-T,ShapeNet,RLPAM,ShapeConv,SBM,InterpGN
ArticularyWordRecognition,0.917,0.987,0.99,0.987,0.953,0.983,0.938,0.993,0.987,0.923,0.994,0.993,0.991
AtrialFibrillation,0.267,0.2,0.333,0.2,0.507,0.2,0.467,0.4,0.4,0.733,0.521,0.453,0.333
BasicMotions,0.925,0.975,1.0,0.975,0.965,0.965,0.56,1.0,1.0,1.0,0.997,1.0,1.0
CharacterTrajectories,0.849,0.989,0.998,0.995,0.98,,0.859,0.99,0.98,0.978,0.981,0.983,0.997
Cricket,0.944,1.0,0.997,0.972,0.839,0.958,0.883,1.0,0.986,1.0,0.998,0.981,1.0
DuckDuckGeese,0.38,0.6,0.668,0.68,0.404,0.48,,0.7,0.725,0.7,0.648,0.384,0.48
ERing,0.889,0.133,0.894,0.874,0.914,0.933,0.872,0.937,0.133,0.819,0.774,0.967,0.933
EigenWorms,0.672,0.618,0.759,0.847,,,0.415,0.923,0.878,0.908,0.802,0.582,0.835
Epilepsy,0.978,0.964,0.975,0.964,0.836,0.92,0.565,0.986,0.987,0.978,0.972,0.993,0.988
EthanolConcentration,0.677,0.323,0.297,0.308,0.3,0.337,0.263,0.331,0.312,0.369,0.253,0.301,0.298
FaceDetection,0.567,0.529,0.584,0.501,0.686,0.681,0.559,0.512,0.602,0.621,0.635,0.657,0.659
FingerMovements,0.5,0.53,0.622,0.48,0.608,0.776,0.564,0.6,0.58,0.64,0.587,0.6,0.616
HandMovementDirection,0.419,0.231,0.446,0.338,0.416,0.608,0.568,0.392,0.338,0.635,0.413,0.473,0.459
Handwriting,0.104,0.286,0.612,0.515,0.239,0.305,0.112,0.433,0.452,0.522,0.527,0.357,0.617
Heartbeat,0.746,0.717,0.78,0.683,0.739,0.712,0.724,0.79,0.756,0.779,0.784,0.736,0.779
InsectWingbeat,0.208,,0.654,0.466,0.593,0.684,0.276,0.184,0.25,0.352,0.509,0.492,0.653
JapaneseVowels,0.676,0.949,0.991,0.984,0.972,0.994,0.876,0.978,0.984,0.935,0.993,0.963,0.99
LSST,0.491,0.551,0.394,0.537,0.406,0.381,0.315,0.666,0.59,0.643,0.608,0.636,0.597
Libras,0.817,0.87,0.953,0.867,0.806,0.844,0.642,0.833,0.856,0.794,0.887,0.86,0.969
MotorImagery,0.51,0.5,0.584,0.51,0.614,,0.6,0.65,0.61,0.61,0.674,0.642,0.63
NATOPS,0.794,0.883,0.982,0.928,0.904,0.9,0.73,0.906,0.833,0.95,0.937,0.879,0.983
PEMS-SF,0.925,0.711,0.824,0.682,0.857,0.919,0.764,0.867,0.751,0.632,0.801,0.851,0.873
PenDigits,0.855,0.977,0.99,0.989,0.981,0.974,0.961,0.938,0.977,0.982,0.968,0.971,0.99
PhonemeSpectra,0.155,0.151,0.303,0.233,0.119,0.088,0.033,0.176,0.298,0.175,0.192,0.255,0.32
RacketSports,0.842,0.803,0.903,0.855,0.855,0.829,0.738,0.842,0.882,0.868,0.863,0.897,0.901
SelfRegulationSCP1,0.846,0.775,0.902,0.812,0.895,0.925,0.835,0.884,0.782,0.802,0.858,0.864,0.917
SelfRegulationSCP2,0.489,0.539,0.577,0.578,0.559,0.589,0.559,0.6,0.578,0.632,0.624,0.522,0.578
SpokenArabicDigits,0.679,0.963,0.995,0.988,0.987,0.993,0.748,0.986,0.975,0.621,0.979,0.994,0.997
StandWalkJump,0.467,0.2,0.493,0.467,0.6,0.267,0.507,0.467,0.533,0.667,0.587,0.573,0.507
UWaveGestureLibrary,0.762,0.903,0.889,0.906,0.812,0.903,0.778,0.941,0.906,0.944,0.936,0.913,0.911
