model,dnn_type,dataset,lambda_reg,lambda_div,epsilon,num_shapelet,gating_value,pos_weight,beta_schedule,lr,train_epochs,seed,test_accuracy,epoch_stop
DNN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,0,0.99,232
DNN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,1234,0.99,108
DNN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,2023,0.99,299
DNN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,42,0.9933333333333332,170
DNN,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,8237,0.9866666666666668,73
DNN,PatchTST,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,0,0.9433333333333334,299
DNN,PatchTST,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,1234,0.94,60
DNN,PatchTST,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,2023,0.9366666666666666,62
DNN,PatchTST,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,42,0.9366666666666666,61
DNN,PatchTST,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,8237,0.9333333333333332,60
DNN,TimesNet,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,0,0.9566666666666668,56
DNN,TimesNet,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,1234,0.9633333333333334,147
DNN,TimesNet,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,2023,0.9233333333333332,69
DNN,TimesNet,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,42,0.9666666666666668,299
DNN,TimesNet,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,8237,0.9533333333333334,99
DNN,FCN,AtrialFibrillation,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,0,0.3333333333333333,55
DNN,FCN,AtrialFibrillation,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,1234,0.3333333333333333,55
DNN,FCN,AtrialFibrillation,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,2023,0.3333333333333333,54
DNN,FCN,AtrialFibrillation,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,42,0.3333333333333333,56
DNN,FCN,AtrialFibrillation,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,8237,0.3333333333333333,55
DNN,PatchTST,AtrialFibrillation,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,0,0.4,63
DNN,PatchTST,AtrialFibrillation,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,1234,0.4,299
DNN,PatchTST,AtrialFibrillation,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,2023,0.5333333333333333,78
DNN,PatchTST,AtrialFibrillation,0.1,0.1,1.0,10,1.0,False,constant,0.005,300,42,0.4666666666666667,60
