model,dnn_type,dataset,lambda_reg,lambda_div,epsilon,num_shapelet,gating_value,pos_weight,beta_schedule,lr,train_epochs,seed,test_accuracy,epoch_stop,eta_mean,eta_std,eta_count,shapelet_score,w_sum_10,w_mean_10,w_sum_5,w_mean_5,w_sum_1,w_mean_1,w_max,w_gini_clip,w_gini_abs
SBM,FCN,ArticularyWordRecognition,0.1,0.0,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0352502651512622,23.0,0.0017037036595866,631.0,0.0467407405376434,5327.0,0.3945925831794739,1.7303974628448486,0.8139164100598475,0.6484604528134057
SBM,FCN,ArticularyWordRecognition,0.0,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0532591044902801,26.0,0.0019259259570389,768.0,0.0568888895213604,7333.0,0.5431851744651794,1.6842117309570312,0.7327934299018851,0.5033796052212249
SBM,FCN,ArticularyWordRecognition,0.1,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0372787937521934,23.0,0.0017037036595866,644.0,0.0477037020027637,5335.0,0.3951851725578308,1.7292455434799194,0.8142912697104349,0.6488767368579995
SBM,FCN,ArticularyWordRecognition,0.1,0.1,2.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,409,,,,0.0191145129501819,70.0,0.0051851850003004,713.0,0.0528148151934146,3784.0,0.2802962958812713,3.240100622177124,0.8922867428275532,0.7796064422434942
SBM,FCN,ArticularyWordRecognition,0.1,0.1,5.0,10,1.0,False,constant,0.005,500,0,0.8733333333333333,142,,,,0.0061845649033784,512.0,0.0379259251058101,1063.0,0.0787407383322715,1696.0,0.1256296336650848,3.551011562347412,0.9614571272816816,0.9189473741428406
SBM,FCN,ArticularyWordRecognition,0.1,0.1,10.0,10,1.0,False,constant,0.005,500,0,0.1033333333333333,67,,,,0.0004425989172887,3.0,0.0002222222246928,17.0,0.0012592592975124,189.0,0.0140000004321336,1.0760656595230105,0.8425602716628698,0.9188198082237622
SBM,FCN,ArticularyWordRecognition,0.1,0.1,0.5,10,1.0,False,constant,0.005,500,0,0.9866666666666668,258,,,,0.0841519609093666,11.0,0.000814814819023,566.0,0.0419259257614612,6341.0,0.4697037041187286,1.4670493602752686,0.7376205080589134,0.5237332090847482
SBM,FCN,ArticularyWordRecognition,0.5,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0200638230890035,43.0,0.0031851851381361,596.0,0.0441481471061706,2826.0,0.2093333303928375,2.0250043869018555,0.9177324621595546,0.8390267935661119
SBM,FCN,ArticularyWordRecognition,1.0,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0156506206840276,79.0,0.0058518517762422,590.0,0.0437037050724029,1957.0,0.1449629664421081,2.271471738815308,0.9445661799586454,0.8930913625081791
SBM,FCN,ArticularyWordRecognition,10.0,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,108,,,,0.0145001653581857,1.0,7.407407247228548e-05,92.0,0.0068148146383464,2590.0,0.1918518543243408,1.1789950132369995,0.8863960294875178,0.7805718961464366
SBM,FCN,ArticularyWordRecognition,5.0,0.1,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,313,,,,0.0114130266010761,42.0,0.0031111110001802,410.0,0.0303703695535659,1492.0,0.1105185151100158,2.0796947479248047,0.9488531173674808,0.9088833360467768
SBM,FCN,ArticularyWordRecognition,0.1,1.0,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0412501581013202,29.0,0.002148148138076,677.0,0.0501481480896472,5394.0,0.3995555639266968,1.7394315004348757,0.8160239496113474,0.6508708922615098
SBM,FCN,ArticularyWordRecognition,0.1,10.0,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0466746762394905,41.0,0.0030370370950549,769.0,0.056962963193655,5386.0,0.3989629745483398,1.7803157567977903,0.8213345953079525,0.6592178372369034
SBM,FCN,ArticularyWordRecognition,0.1,100.0,1.0,10,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0524006262421608,63.0,0.0046666665002703,888.0,0.0657777786254882,5347.0,0.3960740864276886,1.834400296211243,0.8285225599002097,0.6726520822890254
SBM,FCN,ArticularyWordRecognition,0.1,0.0,1.0,5,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0566000714898109,219.0,0.0324444435536861,1020.0,0.1511111110448837,3420.0,0.5066666603088379,2.460186004638672,0.816776117402138,0.6506750527096414
SBM,FCN,ArticularyWordRecognition,0.0,0.1,1.0,5,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0833721980452537,252.0,0.0373333320021629,1237.0,0.1832592636346817,4749.0,0.7035555839538574,2.44678258895874,0.736197705212557,0.5053852001827572
SBM,FCN,ArticularyWordRecognition,0.1,0.1,1.0,5,1.0,False,constant,0.005,500,0,0.9933333333333332,499,,,,0.0591051802039146,218.0,0.0322962962090969,1023.0,0.1515555530786514,3426.0,0.5075555443763733,2.46633243560791,0.8168903954538627,0.650660498441599
SBM,FCN,ArticularyWordRecognition,0.1,0.1,2.0,5,1.0,False,constant,0.005,500,0,0.9933333333333332,65,,,,0.036607775837183,0.0,0.0,583.0,0.0863703712821006,4164.0,0.6168888807296753,0.9698917865753174,0.7361340034330394,0.475579440889038
SBM,FCN,ArticularyWordRecognition,0.1,0.1,5.0,5,1.0,False,constant,0.005,500,0,0.8,395,,,,0.0119887785986065,493.0,0.0730370357632637,671.0,0.0994074046611785,805.0,0.1192592605948448,9.108320236206056,0.9646546435720632,0.9295403332647904
SBM,FCN,ArticularyWordRecognition,0.1,0.1,10.0,5,1.0,False,constant,0.005,500,0,0.0833333333333333,78,,,,0.0006377666722983,12.0,0.0017777777975425,35.0,0.0051851850003004,120.0,0.0177777782082557,1.5132662057876587,0.9109606120327126,0.9447098385438858
